Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,Source_File,condition,genotype/variation,strain/background,AssemblyName,intentional_duplicate (run),dangling_references (run),BioSampleModel,dev_stage,Ecotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Library Name,cell_type,Development_stage,ecotype_background,genotype/varaition,genotype,treatment,Developmental_Stage,Experiment.1,strain,number_of_nuclei,plate/batch,days_after_pollination,fans_peak,female_parent,male_parent,ecotype/background,use_for_atlas,ID,Sample name,Accession,Public description,Project accession,Sample title,Cultivar,Biomaterial provider,Tissue,Age,Age unit,Dev stage,Cell line,Cell type,Collected by,Collection date,Culture collection,Disease,Disease stage,Genotype,Growth protocol,Height length,Isolation source,Latitude longitude,Phenotype,Population,Type,Sex,Specimen voucher,Temperature,Treatment,Study_Title
SRR11517430,,RNA-Seq,124.0,5163376864.0,PRJNA497883,SAMN14567775,2233549988.0,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8089021,GSM4466789,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:47:00Z,2.0,GSM4466789,Whole Root Protoplast Cell_heat shock,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,HeatShock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517429,,RNA-Seq,124.0,5161680916.0,PRJNA497883,SAMN14567775,2231945689.0,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX8089021,GSM4466789,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:43:00Z,2.0,GSM4466789,Whole Root Protoplast Cell_heat shock,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,HeatShock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517431,,RNA-Seq,124.0,5078633404.0,PRJNA497883,SAMN14567775,2199698059.0,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8089021,GSM4466789,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:55:00Z,2.0,GSM4466789,Whole Root Protoplast Cell_heat shock,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,HeatShock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614072,40-days-old,RNA-Seq,199.0,4785637968.0,PRJNA938501,SAMN33438504,1453925798.0,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX19498744,GSM7063710,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:15:00Z,1.0,GSM7063710,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614011,40-days-old,RNA-Seq,199.0,4784989228.0,PRJNA938501,SAMN33438497,1452998193.0,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX19498721,GSM7063703,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:19:00Z,1.0,GSM7063703,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614071,40-days-old,RNA-Seq,199.0,4673236798.0,PRJNA938501,SAMN33438503,1420284349.0,GEO,public,"fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX19498743,GSM7063709,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:11:00Z,1.0,GSM7063709,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614074,40-days-old,RNA-Seq,199.0,4410065467.0,PRJNA938501,SAMN33438505,1369474648.0,GEO,public,"sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498745,GSM7063711,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:12:00Z,1.0,GSM7063711,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614073,40-days-old,RNA-Seq,199.0,4255530823.0,PRJNA938501,SAMN33438504,1283470128.0,GEO,public,"fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498744,GSM7063710,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:08:00Z,1.0,GSM7063710,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614075,40-days-old,RNA-Seq,199.0,3925360769.0,PRJNA938501,SAMN33438505,1209497395.0,GEO,public,"sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19498745,GSM7063711,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:11:00Z,1.0,GSM7063711,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8315916,6-day-old seedlings,RNA-Seq,150.0,3213121800.0,PRJNA509920,SAMN10590314,1196692356.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5128620,GSM3511863,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-26T00:00:00Z,2018-12-14T06:46:00Z,1.0,GSM3511863,Root,SRP173393,Root,SraRunTable (2).csv,Protoplasted,Wild type,Col-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517417,,RNA-Seq,300.0,2544988500.0,PRJNA497883,SAMN14567777,1220520509.0,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:29:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517416,,RNA-Seq,300.0,2539501800.0,PRJNA497883,SAMN14567777,1290512210.0,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:33:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8315917,6-day-old seedlings,RNA-Seq,150.0,2517829650.0,PRJNA509920,SAMN10590313,939125531.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5128621,GSM3511864,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-26T00:00:00Z,2018-12-14T06:45:00Z,1.0,GSM3511864,Root,SRP173393,Root,SraRunTable (2).csv,Protoplasted,Wild type,Col-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517408,,RNA-Seq,300.0,2470987200.0,PRJNA497883,SAMN14567777,1200088681.0,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:29:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517418,,RNA-Seq,300.0,2395172400.0,PRJNA497883,SAMN14567777,1200384178.0,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:27:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8315914,6-day-old seedlings,RNA-Seq,150.0,2294782650.0,PRJNA509920,SAMN10590316,860681286.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5128618,GSM3511861,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-26T00:00:00Z,2018-12-14T06:43:00Z,1.0,GSM3511861,Root,SRP173393,Root,SraRunTable (2).csv,Unprotoplasted,Wild type,Col-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614076,40-days-old,RNA-Seq,199.0,2092352665.0,PRJNA938501,SAMN33438506,615112682.0,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX19498762,GSM7063712,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:09:00Z,1.0,GSM7063712,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8315915,6-day-old seedlings,RNA-Seq,150.0,2082563550.0,PRJNA509920,SAMN10590315,778073544.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5128619,GSM3511862,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-03-26T00:00:00Z,2018-12-14T06:41:00Z,1.0,GSM3511862,Root,SRP173393,Root,SraRunTable (2).csv,Unprotoplasted,Wild type,Col-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614077,40-days-old,RNA-Seq,199.0,1912621039.0,PRJNA938501,SAMN33438506,560400908.0,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498762,GSM7063712,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:03:00Z,1.0,GSM7063712,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614080,40-days-old,RNA-Seq,199.0,1831759180.0,PRJNA938501,SAMN33438508,539628074.0,GEO,public,"fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498764,GSM7063714,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:06:00Z,1.0,GSM7063714,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614062,40-days-old,RNA-Seq,199.0,1802915324.0,PRJNA938501,SAMN33438499,537585063.0,GEO,public,"sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX19498739,GSM7063705,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:07:00Z,1.0,GSM7063705,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614064,40-days-old,RNA-Seq,199.0,1797536752.0,PRJNA938501,SAMN33438500,538238072.0,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX19498740,GSM7063706,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:05:00Z,1.0,GSM7063706,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614081,40-days-old,RNA-Seq,199.0,1673494480.0,PRJNA938501,SAMN33438508,491058099.0,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX19498764,GSM7063714,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:04:00Z,1.0,GSM7063714,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614063,40-days-old,RNA-Seq,199.0,1646245211.0,PRJNA938501,SAMN33438499,489991755.0,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498739,GSM7063705,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:04:00Z,1.0,GSM7063705,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614065,40-days-old,RNA-Seq,199.0,1643723284.0,PRJNA938501,SAMN33438500,490850798.0,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498740,GSM7063706,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:01:00Z,1.0,GSM7063706,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614078,40-days-old,RNA-Seq,199.0,1632647939.0,PRJNA938501,SAMN33438507,486166179.0,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX19498763,GSM7063713,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:04:00Z,1.0,GSM7063713,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614079,40-days-old,RNA-Seq,199.0,1494214783.0,PRJNA938501,SAMN33438507,443455917.0,GEO,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX19498763,GSM7063713,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T19:01:00Z,1.0,GSM7063713,Stem,SRP424479,Stem,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517411,,RNA-Seq,124.0,1085141112.0,PRJNA497883,SAMN14567777,452339287.0,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:27:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517423,,RNA-Seq,124.0,1083917108.0,PRJNA497883,SAMN14567777,467798031.0,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:32:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517410,,RNA-Seq,124.0,1080443992.0,PRJNA497883,SAMN14567777,486749387.0,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:27:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517409,,RNA-Seq,124.0,1062862776.0,PRJNA497883,SAMN14567777,470291371.0,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:28:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517414,,RNA-Seq,300.0,1025979300.0,PRJNA497883,SAMN14567777,504123889.0,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:25:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517415,,RNA-Seq,300.0,916218900.0,PRJNA497883,SAMN14567777,442964537.0,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:25:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12743464,,RNA-Seq,124.0,885448288.0,PRJNA666436,SAMN16293293,372712215.0,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9215963,GSM4809927,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-02T00:00:00Z,2020-09-29T16:26:00Z,1.0,GSM4809927,root tissue,SRP285817,root tissue,SraRunTable (6).csv,,,,,,,,,Col-0,,,,,,,,,,,,08 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12743465,,RNA-Seq,124.0,876248728.0,PRJNA666436,SAMN16293293,371013240.0,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9215963,GSM4809927,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-02T00:00:00Z,2020-09-29T16:25:00Z,1.0,GSM4809927,root tissue,SRP285817,root tissue,SraRunTable (6).csv,,,,,,,,,Col-0,,,,,,,,,,,,08 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12743463,,RNA-Seq,124.0,850937104.0,PRJNA666436,SAMN16293293,353824942.0,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9215963,GSM4809927,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-02T00:00:00Z,2020-09-29T16:25:00Z,1.0,GSM4809927,root tissue,SRP285817,root tissue,SraRunTable (6).csv,,,,,,,,,Col-0,,,,,,,,,,,,08 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12743466,,RNA-Seq,124.0,850089936.0,PRJNA666436,SAMN16293293,359836648.0,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9215963,GSM4809927,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-02T00:00:00Z,2020-09-29T16:26:00Z,1.0,GSM4809927,root tissue,SRP285817,root tissue,SraRunTable (6).csv,,,,,,,,,Col-0,,,,,,,,,,,,08 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517413,,RNA-Seq,300.0,847438500.0,PRJNA497883,SAMN14567777,413818306.0,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:25:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517419,,RNA-Seq,83.0,816988671.0,PRJNA497883,SAMN14567777,325631961.0,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:26:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517421,,RNA-Seq,83.0,815599749.0,PRJNA497883,SAMN14567777,328213849.0,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:28:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517420,,RNA-Seq,83.0,800543466.0,PRJNA497883,SAMN14567777,325335420.0,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:26:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11517422,,RNA-Seq,83.0,799317639.0,PRJNA497883,SAMN14567777,320795429.0,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX8089019,GSM4466787,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-04-23T00:00:00Z,2020-04-23T15:27:00Z,2.0,GSM4466787,Whole Root Protoplast Cell_control,SRP166333,whole root,SraRunTable (1).csv,,,,,,,,,Col-0,,,,,protoplast cells,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
